RACE,RACE_GROUP
AFRICAN AMERICAN,AFRICAN AMERICAN
ASIAN INDIAN,ASIAN/PACIFIC ISLANDER
CAMBODIAN,ASIAN/PACIFIC ISLANDER
CAUCASIAN,CAUCASIAN
CHINESE,ASIAN/PACIFIC ISLANDER
FILIPINO,ASIAN/PACIFIC ISLANDER
GUAMANIAN,ASIAN/PACIFIC ISLANDER
HAWAIIAN,ASIAN/PACIFIC ISLANDER
HISPANIC/LATIN/MEXICAN,HISPANIC/LATIN/MEXICAN
JAPANESE,ASIAN/PACIFIC ISLANDER
KOREAN,ASIAN/PACIFIC ISLANDER
LAOTIAN,ASIAN/PACIFIC ISLANDER
OTHER,OTHER
OTHER ASIAN,ASIAN/PACIFIC ISLANDER
PACIFIC ISLANDER,ASIAN/PACIFIC ISLANDER
SAMOAN,ASIAN/PACIFIC ISLANDER
UNKNOWN,UNKNOWN
VIETNAMESE,ASIAN/PACIFIC ISLANDER
AMERICAN INDIAN/ALASKAN NATIVE,INDIGENOUS